video_name,frame_index,encode_type,key_used,decoded_bits,recovered_bits,matched_bits,hamming_distance,similarity,raw_msg,is_exact_match
0_encoded,153,multibit,video_Watermark,00000111001000101110011111001000100010000010011111110010,000001110010001011100111,,24,,,False
0_encoded,154,multibit,video_Watermark,01000111001000101110001111001101100000100010011010110010,010001110010001011100011,01110010011001010111001101100101110000010110000010101000,22,0.6071428571428572,reserved,False
0_encoded,155,multibit,video_Watermark,00000111001000101110001111011010100010000010011010010010,000001110010001011100011,,28,,,False
0_encoded,156,multibit,video_Watermark,10000111001000101100000111011110000010000010011010110111,100001110010001011000001,,28,,,False
0_encoded,157,multibit,video_Watermark,10000111001010101100000010011000100000100010011011110111,100001110010101011000000,01100010011110010000000000000000101001010000011001110101,21,0.625,by,False
0_encoded,158,multibit,video_Watermark,00000111001010101110000011011000000000100010011111010011,000001110010101011100000,,24,,,False
0_encoded,159,multibit,video_Watermark,00000111001011001110110011011000000010000010001111000011,000001110010110011101100,01000001011011000110110000000000010011010101101111001001,18,0.6785714285714286,All,False
0_encoded,160,multibit,video_Watermark,00000111001000101110101111001000000010000010011010110111,000001110010001011101011,,27,,,False
0_encoded,161,multibit,video_Watermark,00000111001001101100000111011000000010000010011010110110,000001110010011011000001,,27,,,False
0_encoded,162,multibit,video_Watermark,00000111001000101110011111001000101010100011011011110110,000001110010001011100111,,23,,,False
0_encoded,163,multibit,video_Watermark,00000111001000101110001111001101100000000010011010110010,000001110010001011100011,01110010011001010111001101100101110000010110000010101000,22,0.6071428571428572,reserved,False
0_encoded,164,multibit,video_Watermark,01000111001000101000000000010000101000000010011011110111,010001110010001010000000,01100010011110010000000000000000101001010000011001110101,15,0.7321428571428572,by,False
0_encoded,165,multibit,video_Watermark,00000111001000101000000011011000100000000010011010110011,000001110010001010000000,01100010011110010000000000000000101001010000011001110101,22,0.6071428571428572,by,False
0_encoded,166,multibit,video_Watermark,00000111001000101010001111011000000000000010011010110011,000001110010001010100011,,26,,,False
0_encoded,167,multibit,video_Watermark,01000111001000101110010011010000000000100010011110010011,010001110010001011100100,,23,,,False
0_encoded,168,multibit,video_Watermark,00000111001011001110110000010100000011000111001111000011,000001110010110011101100,01000001011011000110110000000000010011010101101111001001,13,0.7678571428571428,All,False
0_encoded,169,multibit,video_Watermark,00000111001000101110011111011100101011000011001111010111,000001110010001011100111,,23,,,False
0_encoded,170,multibit,video_Watermark,00000111001000101110010111011010100010000010011010110011,000001110010001011100101,,28,,,False
0_encoded,171,multibit,video_Watermark,00000111001000101110110111011010001010000011011010110011,000001110010001011101101,,28,,,False
0_encoded,172,multibit,video_Watermark,00000111001000101110001111001101100000110010001010100010,000001110010001011100011,01110010011001010111001101100101110000010110000010101000,20,0.6428571428571428,reserved,False
0_encoded,173,multibit,video_Watermark,00000111001010001000000010000000100000010010011011110111,000001110010100010000000,01100010011110010000000000000000101001010000011001110101,14,0.75,by,False
0_encoded,174,multibit,video_Watermark,00000111001010101110010011011000000000110011001111010011,000001110010101011100100,01101110011010010111010001110000010100111101000111011001,20,0.6428571428571428,nitphen,False
0_encoded,175,multibit,video_Watermark,00000111001000101010000111011000000010000010011010110110,000001110010001010100001,,26,,,False
0_encoded,176,multibit,video_Watermark,00000111001000101110001111011010001010000010011011110111,000001110010001011100011,,26,,,False
0_encoded,177,multibit,video_Watermark,00000111001011101110110000001000000011000111001111000011,000001110010111011101100,01000001011011000110110000000000010011010101101111001001,13,0.7678571428571428,All,False
0_encoded,178,multibit,video_Watermark,00000111001010101110011111001000101011010010101111110110,000001110010101011100111,01110010011010010110011101101000111111011001100111110110,17,0.6964285714285714,rights,False
0_encoded,179,multibit,video_Watermark,00010111001001001110001111001101110000010110011010100010,000101110010010011100011,01110010011001010111001101100101110000010110000010101000,15,0.7321428571428572,reserved,False
0_encoded,180,multibit,video_Watermark,10000111001000101110110111011010000010000010011010110111,100001110010001011101101,,30,,,False
0_encoded,181,multibit,video_Watermark,10000111001000101100100111011010000010100010011010110110,100001110010001011001001,,30,,,False
0_encoded,182,multibit,video_Watermark,10000111001000101000000110011000100001000010011011110111,100001110010001010000001,01100010011110010000000000000000101001010000011001110101,20,0.6428571428571428,by,False
0_encoded,183,multibit,video_Watermark,00000111001000101110010111011000100000100010011011010011,000001110010001011100101,,27,,,False
0_encoded,184,multibit,video_Watermark,00000111001011101110110010011000100011000111011011010011,000001110010111011101100,01000001011011000110110000000000010011010101101111001001,19,0.6607142857142857,All,False
