img,attack,log10_pvalue,R,marked,param0
2,hue,-35.402556671332896,9237367.0,True,-0.25
2,hue,-43.63035170969738,24266268.0,True,0.0
2,hue,-34.979425795383115,10330524.0,True,0.25
2,hue,-31.016189174546263,3539889.0,True,0.5
2,hue,-37.36804750704088,9467388.0,True,0.2
3,none,-106.46903809541809,4915657.5,True,-1.0
3,meme_format,-54.011204111060344,715285.75,True,-1.0
3,overlay_onto_screenshot,-0.047775952560574646,-28742.875,False,-1.0
3,rotation,-106.46903809541809,4915657.5,True,0.0
3,rotation,-54.55872564190625,1001459.8125,True,5.0
3,rotation,-46.77657983784822,829395.0,True,10.0
3,rotation,-43.281935207727486,646351.5,True,15.0
3,rotation,-44.04511217966978,622008.0625,True,20.0
3,rotation,-42.63766169818942,566430.375,True,25.0
3,rotation,-37.67889368874073,476960.25,True,30.0
3,rotation,-33.250812020738024,397314.0625,True,35.0
3,rotation,-34.288784388680455,410254.4375,True,40.0
3,center_crop,-5.891225762361315,-8186.65625,False,0.1
3,center_crop,-13.142015107402374,413685.4375,True,0.2
3,center_crop,-16.317371892706355,433468.96875,True,0.30000000000000004
3,center_crop,-38.48944282274482,1421429.875,True,0.4
3,center_crop,-33.226120446202344,679229.625,True,0.5
3,center_crop,-49.766185193948665,1279459.0,True,0.6000000000000001
3,center_crop,-47.444268565395966,1311642.375,True,0.7000000000000001
3,center_crop,-51.13878203566915,1156308.25,True,0.8
3,center_crop,-54.51675706055044,1295563.5,True,0.9
3,center_crop,-106.46903809541809,4915657.5,True,1.0
3,resize,-0.22665470499130477,-188743.3125,False,0.1
3,resize,-0.1653008767308815,-137534.875,False,0.2
3,resize,-0.8477484664855689,-71946.90625,False,0.30000000000000004
3,resize,-6.963682985939888,13990.734375,True,0.4
3,resize,-15.47218188165197,136297.921875,True,0.5
3,resize,-33.08256139613431,452763.875,True,0.6000000000000001
3,resize,-50.44120093107973,877089.1875,True,0.7000000000000001
3,resize,-53.12271583113926,1232619.125,True,0.8
3,resize,-60.10107359622325,1508485.25,True,0.9
3,resize,-106.46903809541809,4915657.5,True,1.0
3,blur,-86.07859328278762,3257492.5,True,3.0
3,blur,-79.07044132940679,2681943.5,True,5.0
3,blur,-74.60825027671771,2311996.5,True,7.0
3,blur,-71.87294369629703,2087223.0,True,9.0
3,blur,-67.41051019999884,1803835.25,True,11.0
3,blur,-60.21361412813215,1470248.5,True,13.0
3,blur,-48.98677876076341,1052814.5,True,15.0
3,blur,-36.73048130250281,667528.1875,True,17.0
3,blur,-23.242897741357346,365990.46875,True,19.0
3,jpeg,-0.02189450624947841,-124509.8515625,False,10.0
3,jpeg,-1.9656728353709108,-74649.3125,False,20.0
3,jpeg,-4.200512263027694,-26904.046875,False,30.0
3,jpeg,-8.932083278032387,39657.1796875,True,40.0
3,jpeg,-14.379445210221498,111430.0234375,True,50.0
3,jpeg,-21.303930681984998,191743.9375,True,60.0
3,jpeg,-32.97138166626371,368863.75,True,70.0
3,jpeg,-54.63668975409855,815036.25,True,80.0
3,jpeg,-76.3244036681522,1767635.375,True,90.0
3,jpeg,-98.48480885853093,3877336.75,True,100.0
3,contrast,-0.08780360742195184,-59825.125,False,0.0
3,contrast,-92.93975596951807,3170564.5,True,0.5
3,contrast,-106.46903809541809,4915657.5,True,1.0
3,contrast,-69.88387475261258,1631194.75,True,1.5
3,contrast,-50.937509413285014,952128.375,True,2.0
3,brightness,-92.96520524686255,3249626.75,True,0.5
3,brightness,-106.46903809541809,4915657.5,True,1.0
3,brightness,-4.984920514238133,-20958.2734375,False,1.5
3,brightness,-2.707394060923799,-111311.3203125,False,2.0
3,hue,-37.971239811027885,556345.25,True,-0.5
3,hue,-60.3311645961872,1128818.875,True,-0.25
3,hue,-105.93657485815677,4825055.5,True,0.0
3,hue,-70.97465634690866,1450147.0,True,0.25
3,hue,-38.63296312552528,569074.1875,True,0.5
3,hue,-75.6085861570993,1629679.25,True,0.2
4,none,-69.0708695683613,11042298.0,True,-1.0
4,meme_format,-49.57344898019407,1673942.0,True,-1.0
4,overlay_onto_screenshot,-8.973466108600432,19672.70703125,True,-1.0
4,rotation,-69.0708695683613,11042298.0,True,0.0
4,rotation,-45.20623490266971,3356984.75,True,5.0
4,rotation,-44.14667291521942,2969786.0,True,10.0
4,rotation,-42.733120727866435,2638344.75,True,15.0
4,rotation,-43.24346191731209,2454619.75,True,20.0
4,rotation,-42.79852627954403,2212822.0,True,25.0
4,rotation,-39.81963469389635,2074213.25,True,30.0
4,rotation,-38.33660235484808,1834896.25,True,35.0
4,rotation,-36.42717858389403,1594224.125,True,40.0
4,center_crop,-7.5524041660833205,354819.75,True,0.1
4,center_crop,-11.56330514016927,841909.1875,True,0.2
4,center_crop,-18.825022407291083,1279784.75,True,0.30000000000000004
4,center_crop,-30.053151350123557,3386470.5,True,0.4
4,center_crop,-29.42589759651669,1836767.375,True,0.5
4,center_crop,-35.165071432827446,2384162.25,True,0.6000000000000001
4,center_crop,-42.34542767324546,4233010.0,True,0.7000000000000001
4,center_crop,-38.80936942536714,3222038.5,True,0.8
4,center_crop,-43.879310154919935,4417659.0,True,0.9
